Rotina;Predecessora/Hora;Rotinas_Predecessoras_1;Rotinas_Predecessoras_2;Rotinas_Predecessoras_3;Rotinas_Predecessoras_4;Rotinas_Predecessoras_5;Rotinas_Predecessoras_6;Rotinas_Predecessoras_7;Freq;Tabela/Processo;ativa/descontinuada;Linguagem
BI03DH55;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.product_structure;SIM;PYSPARK
BI03DH56;10:00:00;BI03DH85_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.relevanc_card;SIM;PYSPARK
BI03DH57;NULL;BI03DH78_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.relevanc_basket;SIM;PYSPARK
BI03DH58;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_ult_comp_james_extra;SIM;PYSPARK
BI03DH59;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.personas;SIM;TACACA
BI03DH60;NULL;BI03DH26_CDP;BI03DH27_CDP;BI03DH28_CDP;BI03DH55_CDP;;;;"FREQ=DAILY;INTERVAL=1";rfzd_dunnhumby.estrutura_produto;SIM;PYSPARK
BI03DH61;NULL;BI03DH60_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_dunnhumby.produto_estado;SIM;PYSPARK
BI03DH62;NULL;BI03DH61_CDP ;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.prod_hier_l30_code;SIM;TACACA
BI03DH63;NULL;BI03DH43_CDP;BI03DH60_CDP;BI03SB96_CDP;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_dunnhumby.cliente_compra_un_produto;SIM;PYSPARK
BI03DH64;NULL;BI03DH77_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.relevanc_item;SIM;PYSPARK
BI03DH65;09:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.elevanc_store;SIM;PYSPARK
BI03DH66;NULL;BI03DH59_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_dunnhumby.persona;SIM;PYSPARK
BI03DH67;NULL;BI03DH62_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_dunnhumby.prod_hier_l30_code;SIM;PYSPARK
BI03DH68;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_dunnhumby.cliente_estado;SIM;PYSPARK
BI03DH69;NULL;BI03DH26_CDP;BI03DH27_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.elevanc_product;SIM;PYSPARK
BI03DH74;NULL;BI03DE24_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Maintenance CRM;SIM;PYSPARK
BI03DH75;03:05:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.mp_credit_customer;SIM;TACACA
BI03DH76;03:05:00; BI03DH75_CDP ;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.stix_credits_rules;SIM;TACACA
BI03DH77;NULL;BI03DJ17_CDP;BI03DJ18_CDP;BI03SB96_CDP;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.relevanc_item;SIM;PYSPARK
BI03DH78;NULL;BI03SB96_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.relevanc_basket;SIM;PYSPARK
BI03DH79;06:00:00;;;;;;;;Toda Terca;rwzd_dunnhumby.shop_mission;SIM;TACACA
BI03DH80;NULL;BI03DH59_CDP;;;;;;;Toda Terca;SQOOP - rwzd_dunnhumby.personas;SIM;PYSPARK
BI03DH81;NULL;BI03DH60_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";SQOOP - product_structure;SIM;PYSPARK
BI03DH82;NULL;BI03DH84_CDP;;;;;;;Toda Terca;Shell GAVB - rfzd_cliente.relevanc_product;SIM;PYSPARK
BI03DH83;NULL;BI03DH61_CDP;;;;;;;"FREQ=WEEKLY;INTERVAL=1;BYDAY=TU";SQOOP -  prod_inc_prsn_count;SIM;PYSPARK
BI03DH84;NULL;BI03DH26_CDP;BI03DH27_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.relevanc_product;SIM;PYSPARK
BI03DH85;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.relevanc_card;SIM;PYSPARK
BI03DH86;10:00:00;;;;;;;;Toda Terca;rfzd_cliente.relevanc_store;SIM;TACACA
BI03DH87;NULL;BI03DH68_CDP;;;;;;;Toda Terca;SQOOP - prod_new_prsn_count_filter;SIM;PYSPARK
BI03DH88;NULL;BI03DH63_CDP;;;;;;;"FREQ=WEEKLY;INTERVAL=1;BYDAY=TU";SQOOP - un_filters;SIM;PYSPARK
BI03DH89;NULL;BI03DH78_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell GAVB - rfzd_cliente.relevanc_basket;SIM;PYSPARK
BI03DH91;10:00:00;BI03DG53_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Dunnhumby - rfzv_cliente.v_dunn_rappi_cliente_cupom;SIM;PYSPARK
BI03DH92;08:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.napp_cli_categ_vend;SIM;PYSPARK
BI03DH93;NULL;BI03DH77_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell GAVB - rfzd_cliente.relevanc_Item;SIM;PYSPARK
BI03DH94;NULL;BI03DH86_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell GAVB - rfzd_cliente.relevanc_store;SIM;PYSPARK
BI03DH95;13:00:00; BI03DH85_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell GAVB - rfzd_cliente.relevanc_card;SIM;PYSPARK
BI03DH96;13:00:00;BI03DH92_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Napp - rfzd_cliente.napp_cli_categ_vend_ex;SIM;PYSPARK
BI03DH97;10:00:00;BI03DH91_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Dunnhumby - rfzv_cliente.v_dunn_cornershop_cliente_cupom;SIM;PYSPARK
BI03DH98;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.intervencao_chat_bot_dia;SIM;PYSPARK
BI03DI01;NULL;BI03SC18_CDP;BI03SC24_CDP;BI03SC25_CDP;BI03SC26_CDP;;;;"FREQ=DAILY;INTERVAL=1";Shell GAVB - LKP_DHY.FIL001.W;SIM;PYSPARK
BI03DI02;NULL;BI03DI01_CDP ;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell GAVB - SEG_DHY_EX.FIL001.W;SIM;PYSPARK
BI03DI03;NULL;BI03DI02_CDP ;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell GAVB - SEG_DHY_GPA.FIL001.W;SIM;PYSPARK
BI03DI04;NULL;BI03DI03_CDP ;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell GAVB - SEG_DHY_PA.FIL001.W;SIM;PYSPARK
BI03DI05;NULL;BI03SB34_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Responsys - tszd_cliente.pa_ecom_basket;SIM;PYSPARK
BI03DI06;NULL;BI03SB33_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Responsys - tszd_cliente.ex_ecom_basket;SIM;PYSPARK
BI03DI07;03:10:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.first_login;DESCONTINUADA;TACACA
BI03DI08;03:10:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.last_access;DESCONTINUADA;TACACA
BI03DI09;05:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";SHELL SCRIPT NIELSEN;SIM;PYSPARK
BI03DI10;NULL;BI03DI09_CDP;;;;;;;"FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TH";rwzd_nielsen.fact_data;SIM;TACACA
BI03DI11;NULL;BI03DI10_CDP ;;;;;;;"FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TH";rwzd_nielsen.market;SIM;TACACA
BI03DI12;NULL;BI03DI11_CDP ;;;;;;;"FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TH";rwzd_nielsen.product;SIM;TACACA
BI03DI13;NULL;BI03SB71_CDP;;;;;;;"FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TH";rwzd_teradata.meu_desconto_hist;DESCONTINUADA;TACACA
BI03DI14;NULL;BI03DH28_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Postgree - rwzd_dunnhumby.md_un_structure;SIM;PYSPARK
BI03DI15;NULL;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.product_promotion_on_basket_pa;DESCONTINUADA;TACACA
BI03DI16;NULL;BI03DI15_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.product_promotion_on_basket_ex;DESCONTINUADA;TACACA
BI03DI17;08:00:00;;BI03SB46_CDP;BI03SB96_CDP;BI03SC34_CDP;;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.cliente_semana_loja;SIM;PYSPARK
BI03DI21;NULL;BI03DI12_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_nielsen.period;SIM;PYSPARK
BI03DI22;08:00:00;BI03SB96_CDP;BI03SC34_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.cliente_ultimo_ano_loja;DESCONTINUADA;PYSPARK
BI03DI23;NULL;BI03SB46_CDP;BI03SB96_CDP;BI03SC34_CDP;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.cliente_mes_meta ;DESCONTINUADA;PYSPARK
BI03DI24;10:00:00; BI03DH97_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Dunnhumby - rfzv_cliente.v_dunn_ifood_cliente_cupom;SIM;PYSPARK
BI03DI25;13:00:00; BI03DH96_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Napp - rfzd_cliente.napp_cli_categ_vend_pa;SIM;PYSPARK
BI03DI26;10:00:00; BI03SB51_CDP;BI03SB52_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.napp_cli_compras_plu;SIM;PYSPARK
BI03DI27;10:00:00; BI03DI24_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Dunnhumby - rfzv_cliente.v_dunn_supernow_cliente_cupom;SIM;PYSPARK
BI03DI28;NULL;BI03DE36_CDP;;;;;;;"FREQ=WEEKLY;INTERVAL=1;BYDAY=TU";Shell rfzv_cliente.v_adobe_cliente (Outro FTP);SIM;PYSPARK
BI03DI29;NULL;BI03DI26_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Napp - rfzd_cliente.napp_cli_compras_plu_pa;SIM;PYSPARK
BI03DI31;08:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_teradata.t_loja_ult_visao;SIM;PYSPARK
BI03DI32;08:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.promotion;SIM;PYSPARK
BI03DI33;NULL;BI03DI32_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.promotion_additional;SIM;PYSPARK
BI03DI34;NULL;BI03SC33_CDP;BI03SC34_CDP;BI03SC36_CDP;BI03SC37_CDP;BI03SC38_CDP;;;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.ativacao_resgate_stix;SIM;PYSPARK
BI03DI36;07:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell/Python Envio AWS - Compra Guiada Preco Regular;SIM;PYSPARK
BI03DI37;08:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.ex_basket_group;SIM;PYSPARK
BI03DI38;NULL;BI03DI37_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.pa_basket_group;SIM;PYSPARK
BI03DI40;NULL;BI03DI38_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.pa_product_catalog;SIM;PYSPARK
BI03DI41;NULL;BI03DI40_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.ex_product_catalog;SIM;PYSPARK
BI03DI42;NULL;BI03DH60_CDP;BI03DH63_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";Shell/Python Coleta - t_audience;SIM;PYSPARK
BI03DI43;NULL;BI03DI42_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";conversion_rates;DESCONTINUADA;PYSPARK
BI03DI47;NULL;BI03DH28_CDP;BI03DH60_CDP;BI03DI32_CDP;;;;;"FREQ=DAILY;INTERVAL=1";conversion_rates;SIM;PYSPARK
BI03DI48;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.ap_bandeira;SIM;PYSPARK
BI03DI49;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.ap_categoria;SIM;PYSPARK
BI03DI50;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.ap_me;SIM;PYSPARK
BI03DI51;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.ap_canal;SIM;PYSPARK
BI03DI52;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.ap_telefonia;SIM;PYSPARK
BI03DI55;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.ap_cli_unico;SIM;PYSPARK
BI03DI56;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.ap_cc_canal;SIM;PYSPARK
BI03DI57;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.ap_cc_motivo;SIM;PYSPARK
BI03DI58;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_gvp.ap_status;SIM;PYSPARK
BI03DI59;04:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.pa_address V2;SIM;PYSPARK
BI03DI60;NULL;BI03DH76_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.mp_stix_payment;SIM;PYSPARK
BI03DI61;05:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.allocation_activated;SIM;PYSPARK
BI03DI62;NULL;BI03DI73_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.ex_basket V2;SIM;PYSPARK
BI03DI63;NULL;BI03DI59_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.ex_address V2;SIM;PYSPARK
BI03DI64;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio LGPD - tszd_crm_cvp.tck_origemcadastro;SIM;PYSPARK
BI03DI65;NULL;BI03DI68_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.delete_ex_customer V2;SIM;PYSPARK
BI03DI66;NULL;BI03DI65_CDP ;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.delete_pa_customer V2;SIM;PYSPARK
BI03DI67;NULL;BI03DI75_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.ex_customer V2;SIM;PYSPARK
BI03DI68;NULL;BI03DI67_CDP ;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.pa_customer V2;SIM;PYSPARK
BI03DI69;NULL;BI03DI66_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.ex_phone V2;SIM;PYSPARK
BI03DI70;NULL;BI03DI69_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.pa_phone V2;SIM;PYSPARK
BI03DI71;NULL;BI03DI62_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.pa_basket V2;SIM;PYSPARK
BI03DI72;NULL;BI03DI70_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.delete_ex_phone V2;SIM;PYSPARK
BI03DI73;NULL;BI03DI72_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.delete_pa_phone V2;SIM;PYSPARK
BI03DI74;NULL;BI03DI63_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.delete_ex_address V2;SIM;PYSPARK
BI03DI88;NULL;BI03DI71_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.sub_contract V2;SIM;PYSPARK
BI03DI90;NULL;BI03DI88_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.ex_delivery_order V2;SIM;PYSPARK
BI03DI91;NULL;BI03DI90_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.pa_delivery_order V2;SIM;PYSPARK
BI03DI93;04:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby. semana_meu _descto;SIM;PYSPARK
BI03DI96;NULL;BI03DH26_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";RAWZONE E TRUSTED PRODUTO ULTIMA VIScO;SIM;PYSPARK
BI03DI97;NULL;BI03DH82_CDP;BI03DH89_CDP;BI03DH93_CDP;BI03DH94_CDP;BI03DH95_CDP;;;"FREQ=DAILY;INTERVAL=1";admzd_controle.log_controle_export_squadcdp;SIM;PYSPARK
BI03DI98;NULL;SHADOW;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.stix_optin;SIM;PYSPARK
BI03DJ10;NULL;BI03DI98_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_fidelidade.stix_optin;SIM;PYSPARK
BI03DJ12;NULL;BI03DJ13_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.product_promotion_on_basket_ex V2;SIM;PYSPARK
BI03DJ13;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_ecom.product_promotion_on_basket_pa V2;SIM;PYSPARK
BI03DJ14;03:10:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.last_access V2;SIM;PYSPARK
BI03DJ15;NULL;BI03DJ14_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fidelidade.first_login V2;SIM;PYSPARK
BI03DJ16;NULL;BI03DI33_CDP;BI03SB46_CDP;BI03SC24_CDP;BI03SC25_CDP;;;;"FREQ=DAILY;INTERVAL=1";FILTROS DA INDUSTRIA - DANIEL;SIM;PYSPARK
BI03DJ17;NULL;BI03SB96_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";wrkd_cdp.wrk_relevanc_item_online;SIM;PYSPARK
BI03DJ18;NULL;BI03DJ17_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";wrkd_cdp.wrk_relevanc_item_offline;SIM;PYSPARK
BI03DJ19;04:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_teradata.t_ean;SIM;PYSPARK
BI03DJ21;04:20:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_teradata.t_local_estr_oper_flex_vigente;SIM;PYSPARK
BI03DJ23;NULL;BI03DH26_CDP;BI03DH26_CDP;BI03DJ19_CDP;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - cod_barras e plu;SIM;PYSPARK
BI03DJ24;NULL;BI03DI42_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio PostgresSql - t_audience;SIM;PYSPARK
BI03DJ25;NULL;BI03DJ01_ODI;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - optin_email_delivery;SIM;PYSPARK
BI03DJ26;09:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_fidelidade.alocacao_promo_ativada;SIM;PYSPARK
